authdate,processing,amount,realm_ID,Intuit CSID,Our CSID
4/2/2019 10:47,ACH,1380,1.23146E+14,b42c3fe1-f2aa-4ed3-b613-3f8ac9f3523f,b42c3fe1f2aa4ed3b6133f8ac9f3523f
4/1/2019 12:23,ACH,1200,1.23146E+14,e6743299-df0e-4638-b67e-36ec94122075,e6743299df0e4638b67e36ec94122075
4/1/2019 14:41,ACH,14650,1.23146E+14,023867af-60ba-4086-9ffe-3b0671e8c88f,023867af60ba40869ffe3b0671e8c88f
3/29/2019 7:50,ACH,2700,1.23146E+14,,ebdfbaaa9e08442294769661791b9d9e
4/2/2019 14:14,Card,3319.72,1.23146E+14,03062117-5e2a-418b-a808-7ef586ab7775,030621175e2a418ba8087ef586ab7775
4/2/2019 12:58,ACH,10000,1.23146E+14,ee21e75d-4e54-4d33-b18e-4796b8fe1412,ee21e75d4e544d33b18e4796b8fe1412
4/2/2019 12:55,ACH,11400,1.23146E+14,,ee21e75d4e544d33b18e4796b8fe1412
4/2/2019 1:19,ACH,75,1.23146E+14,,09b313b472324398838b229cceaebea0
4/2/2019 10:55,ACH,3894,1.23146E+14,c6ea48f4-6f17-4d1b-8962-fe061549a365,c6ea48f46f174d1b8962fe061549a365
4/1/2019 16:08,ACH,7680.5,1.23146E+14,6c8fb907-79f7-4e15-94c2-bff420a1210d,6c8fb90779f74e1594c2bff420a1210d
4/2/2019 12:19,ACH,50,1.23146E+14,c3d6bf21-458c-430a-9670-3101daa6d4f5,c3d6bf21458c430a96703101daa6d4f5
4/2/2019 3:46,ACH,1000.08,1.23146E+14,c0e38e23-13d1-497c-85ea-7db32f98ff19,c0e38e2313d1497c85ea7db32f98ff19
4/1/2019 9:20,ACH,300,1.23146E+14,,bb74829efe224b6ba5c4094eab8d3c67
3/29/2019 15:42,ACH,322.5,1.23146E+14,,957b1da79c1044d0ab31ae2b9c669c4c
4/2/2019 7:14,ACH,335,1.23146E+14,,1a53bee4aea64483827c0d203ea93de6
4/1/2019 10:00,ACH,206.19,1.23146E+14,,01b68820599a4bc48ea996ab337e752d
4/2/2019 10:03,ACH,753.75,110297308,bfaa1436-02c2-4062-b930-bf91fde35592,bfaa143602c24062b930bf91fde35592
3/31/2019 16:56,ACH,4140,1.23146E+14,44ba162b-d4fa-4cd5-bc07-a002f54c53d7,44ba162bd4fa4cd5bc07a002f54c53d7
